epoch,duration_accuracy,duration_loss,loss,pitch_accuracy,pitch_loss,velocity_accuracy,velocity_loss
28,0.8441296,0.44346517,2.827965898283302,0.43079433,1.7832762,0.7764908,0.6013737
29,0.8443149,0.44042,2.7974901004057946,0.4370565,1.7622395,0.778513,0.59503555
30,0.8459769,0.43648434,2.7605001584155695,0.4431489,1.7383109,0.78175473,0.5856509
31,0.84964573,0.42726812,2.7247154377219345,0.448948,1.7174486,0.7835248,0.5800926
32,0.85077775,0.42404744,2.6951975283046954,0.45496833,1.6964239,0.7853103,0.57495886
33,0.8524655,0.41721785,2.667646830705684,0.46000072,1.6798395,0.78726566,0.5708085
34,0.85304695,0.4149382,2.6417266329036506,0.46392167,1.6602898,0.78861386,0.56652397
35,0.85425615,0.41021973,2.608218450727488,0.47001404,1.6389832,0.7919019,0.55886894
36,0.8561755,0.40606767,2.5819199283855383,0.474995,1.6228544,0.79472166,0.5533509
37,0.85753906,0.39980114,2.5566291419276896,0.48048532,1.6077598,0.79632705,0.5494378
38,0.8580073,0.3989314,2.538791820803862,0.48350066,1.5962635,0.79722244,0.5438201
39,0.86126965,0.39022428,2.5054985786881523,0.48856393,1.5769764,0.7996254,0.5384069
40,0.86227816,0.38767374,2.483968760197422,0.49404398,1.5632049,0.8014058,0.53344184
41,0.862201,0.38658643,2.4686153036300857,0.4978929,1.5498486,0.8022857,0.53243685
42,0.8643055,0.38129997,2.439356996682824,0.50158226,1.5328432,0.8042359,0.52528626
43,0.86543757,0.3775982,2.420610517576401,0.5058377,1.5207996,0.80457544,0.52231026
44,0.86687833,0.37340572,2.3945515367821004,0.51175,1.5036563,0.80740553,0.51779616
45,0.86688346,0.37364253,2.382402541889026,0.5141118,1.493219,0.8086096,0.51572996
46,0.8675884,0.37028703,2.361273329730322,0.5181099,1.4800186,0.8095049,0.5111346
47,0.8691784,0.3658815,2.342047564243273,0.5221955,1.470047,0.81174845,0.50644666
48,0.8700686,0.3638243,2.3295025481700558,0.5225917,1.4611223,0.8124791,0.50471324
49,0.87108743,0.35925373,2.301749995010445,0.5297956,1.4426767,0.8131789,0.5003919
50,0.8720754,0.35721982,2.2974326522063446,0.53017634,1.4412653,0.8135803,0.4991747
51,0.8728163,0.35356337,2.271113665756168,0.53479195,1.4236115,0.8169815,0.49405235
52,0.8730582,0.35252225,2.2572427167816445,0.5371177,1.4128492,0.81672424,0.49195886
53,0.87497234,0.34887046,2.236760003062979,0.5421038,1.4020798,0.82000196,0.48566195
54,0.87570816,0.3469659,2.2294480526327254,0.5413114,1.3981017,0.81999683,0.48476627
55,0.8765829,0.34419632,2.207942136974585,0.5484998,1.3812945,0.8209076,0.48310745
56,0.8763256,0.34364203,2.199519983060712,0.54895264,1.3750383,0.82118547,0.48144135
57,0.8788161,0.3386781,2.176887920771245,0.5522509,1.362926,0.82290405,0.475671
58,0.8794387,0.3378193,2.164476615212067,0.5567482,1.3535762,0.8232951,0.47335497
59,0.87995845,0.3336778,2.141211773560978,0.5607309,1.3394796,0.82526076,0.46850386
